country_Code,Country_number,Country,Currency_Name,Currency_Code,Currency_Number,temp,Currency_Code2,Value
AFG,4,AFGHANISTAN,Afghani,AFN,971,2,AFN,74.727055
ALB,8,ALBANIA,Lek,ALL,8,3,ALL,99.158753
DZA,12,ALGERIA,Algerian Dinar,DZD,12,39,DZD,137.117932
ASM,16,AMERICAN SAMOA,US Dollar,USD,840,0,USD,1.0
AND,20,ANDORRA,Euro,EUR,978,43,EUR,0.942866
AGO,24,ANGOLA,Kwanza,AOA,973,6,AOA,836.537186
AIA,660,ANGUILLA,East Caribbean Dollar,XCD,951,154,XCD,2.7
ATG,28,ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD,951,154,XCD,2.7
ARG,32,ARGENTINA,Argentine Peso,ARS,32,7,ARS,350.03
ARM,51,ARMENIA,Armenian Dram,AMD,51,4,AMD,402.205304
ABW,533,ARUBA,Aruban Florin,AWG,533,9,AWG,1.79
AUS,36,AUSTRALIA,Australian Dollar,AUD,36,8,AUD,1.572893
AUT,40,AUSTRIA,Euro,EUR,978,43,EUR,0.942866
AZE,31,AZERBAIJAN,Azerbaijanian Manat,AZN,944,10,AZN,1.70044
BHS,44,BAHAMAS (THE),Bahamian Dollar,BSD,44,21,BSD,1.0
BHR,48,BAHRAIN,Bahraini Dinar,BHD,48,15,BHD,0.376
BGD,50,BANGLADESH,Taka,BDT,50,13,BDT,110.21631
BRB,52,BARBADOS,Barbados Dollar,BBD,52,12,BBD,2.0
BEL,56,BELGIUM,Euro,EUR,978,43,EUR,0.942866
BLZ,84,BELIZE,Belize Dollar,BZD,84,25,BZD,2.0
BEN,204,BENIN,CFA Franc BCEAO,XOF,952,156,XOF,618.778311
BMU,60,BERMUDA,Bermudian Dollar,BMD,60,17,BMD,1.0
BTN,64,BHUTAN,Ngultrum,BTN,64,22,BTN,83.057946
BTN,64,BHUTAN,Indian Rupee,INR,356,64,INR,83.057974
BOL,68,BOLIVIA (PLURINATIONAL STATE OF),Boliviano,BOB,68,19,BOB,6.910072
BES,535,BONAIRE| SINT EUSTATIUS AND SABA,US Dollar,USD,840,0,USD,1.0
BIH,70,BOSNIA AND HERZEGOVINA,Convertible Mark,BAM,977,11,BAM,1.844976
BWA,72,BOTSWANA,Pula,BWP,72,23,BWP,13.798593
BVT,74,BOUVET ISLAND,Norwegian Krone,NOK,578,104,NOK,11.156498
BRA,76,BRAZIL,Brazilian Real,BRL,986,20,BRL,5.015355
IOT,86,BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,840,0,USD,1.0
BRN,96,BRUNEI DARUSSALAM,Brunei Dollar,BND,96,18,BND,1.36808
BGR,100,BULGARIA,Bulgarian Lev,BGN,975,14,BGN,1.844392
BFA,854,BURKINA FASO,CFA Franc BCEAO,XOF,952,156,XOF,618.778311
BDI,108,BURUNDI,Burundi Franc,BIF,108,16,BIF,2827.95007
CPV,132,CABO VERDE,Cabo Verde Escudo,CVE,132,34,CVE,104.01534
KHM,116,CAMBODIA,Riel,KHR,116,74,KHR,4116.745724
CMR,120,CAMEROON,CFA Franc BEAC,XAF,950,153,XAF,618.778311
CAN,124,CANADA,Canadian Dollar,CAD,124,26,CAD,1.373031
CYM,136,CAYMAN ISLANDS (THE),Cayman Islands Dollar,KYD,136,79,KYD,0.833333
CAF,140,CENTRAL AFRICAN REPUBLIC (THE),CFA Franc BEAC,XAF,950,153,XAF,618.778311
TCD,148,CHAD,CFA Franc BEAC,XAF,950,153,XAF,618.778311
CHL,152,CHILE,Chilean Peso,CLP,152,29,CLP,932.673634
CHN,156,CHINA,Yuan Renminbi,CNY,156,30,CNY,7.312497
CXR,162,CHRISTMAS ISLAND,Australian Dollar,AUD,36,8,AUD,1.572893
CCK,166,COCOS (KEELING) ISLANDS (THE),Australian Dollar,AUD,36,8,AUD,1.572893
COL,170,COLOMBIA,Colombian Peso,COP,170,31,COP,4232.047134
COM,174,COMOROS (THE),Comoro Franc,KMF,174,76,KMF,464.083733
COD,180,CONGO (THE DEMOCRATIC REPUBLIC OF THE),Congolese Franc,CDF,976,27,CDF,2514.67226
COG,178,CONGO (THE),CFA Franc BEAC,XAF,950,153,XAF,618.778311
COK,184,COOK ISLANDS (THE),New Zealand Dollar,NZD,554,106,NZD,1.711312
CRI,188,COSTA RICA,Costa Rican Colon,CRC,188,32,CRC,531.646838
HRV,191,CROATIA,Kuna,HRK,191,58,HRK,7.107455
CUB,192,CUBA,Cuban Peso,CUP,192,33,CUP,24.0
CUW,531,CURAÇAO,Netherlands Antillean Guilder,ANG,532,5,ANG,1.79
CYP,196,CYPRUS,Euro,EUR,978,43,EUR,0.942866
CZE,203,CZECH REPUBLIC (THE),Czech Koruna,CZK,203,35,CZK,23.219714
CIV,384,CÔTE D'IVOIRE,CFA Franc BCEAO,XOF,952,156,XOF,618.778311
DNK,208,DENMARK,Danish Krone,DKK,208,37,DKK,7.040936
DJI,262,DJIBOUTI,Djibouti Franc,DJF,262,36,DJF,177.721
DMA,212,DOMINICA,East Caribbean Dollar,XCD,951,154,XCD,2.7
DOM,214,DOMINICAN REPUBLIC (THE),Dominican Peso,DOP,214,38,DOP,56.664123
ECU,218,ECUADOR,US Dollar,USD,840,0,USD,1.0
EGY,818,EGYPT,Egyptian Pound,EGP,818,40,EGP,30.915165
SLV,222,EL SALVADOR,US Dollar,USD,840,0,USD,1.0
GNQ,226,EQUATORIAL GUINEA,CFA Franc BEAC,XAF,950,153,XAF,618.778311
ERI,232,ERITREA,Nakfa,ERN,232,41,ERN,15.0
EST,233,ESTONIA,Euro,EUR,978,43,EUR,0.942866
ETH,231,ETHIOPIA,Ethiopian Birr,ETB,230,42,ETB,55.859642
DEU,276,EUROPEAN UNION,Euro,EUR,978,43,EUR,0.942866
FLK,238,FALKLAND ISLANDS (THE) [MALVINAS],Falkland Islands Pound,FKP,238,45,FKP,0.821186
FRO,234,FAROE ISLANDS (THE),Danish Krone,DKK,208,37,DKK,7.040936
FJI,242,FIJI,Fiji Dollar,FJD,242,44,FJD,2.275146
FIN,246,FINLAND,Euro,EUR,978,43,EUR,0.942866
FRA,250,FRANCE,Euro,EUR,978,43,EUR,0.942866
GUF,254,FRENCH GUIANA,Euro,EUR,978,43,EUR,0.942866
PYF,258,FRENCH POLYNESIA,CFP Franc,XPF,953,157,XPF,112.568436
ATF,260,FRENCH SOUTHERN TERRITORIES (THE),Euro,EUR,978,43,EUR,0.942866
GAB,266,GABON,CFA Franc BEAC,XAF,950,153,XAF,618.778311
GMB,270,GAMBIA (THE),Dalasi,GMD,270,52,GMD,64.850694
GEO,268,GEORGIA,Lari,GEL,981,48,GEL,2.696829
DEU,276,GERMANY,Euro,EUR,978,43,EUR,0.942866
GHA,288,GHANA,Ghana Cedi,GHS,936,50,GHS,11.930723
GIB,292,GIBRALTAR,Gibraltar Pound,GIP,292,51,GIP,0.821186
GRC,300,GREECE,Euro,EUR,978,43,EUR,0.942866
GRL,304,GREENLAND,Danish Krone,DKK,208,37,DKK,7.040936
GRD,308,GRENADA,East Caribbean Dollar,XCD,951,154,XCD,2.7
GLP,312,GUADELOUPE,Euro,EUR,978,43,EUR,0.942866
GUM,316,GUAM,US Dollar,USD,840,0,USD,1.0
GTM,320,GUATEMALA,Quetzal,GTQ,320,54,GTQ,7.832815
GGY,831,GUERNSEY,Pound Sterling,GBP,826,47,GBP,0.821191
GIN,324,GUINEA,Guinea Franc,GNF,324,53,GNF,8585.890467
GNB,624,GUINEA-BISSAU,CFA Franc BCEAO,XOF,952,156,XOF,618.778311
GUY,328,GUYANA,Guyana Dollar,GYD,328,55,GYD,209.181369
HTI,332,HAITI,Gourde,HTG,332,59,HTG,133.488806
HTI,332,HAITI,US Dollar,USD,840,0,USD,1.0
HMD,334,HEARD ISLAND AND McDONALD ISLANDS,Australian Dollar,AUD,36,8,AUD,1.572893
VAT,336,HOLY SEE (THE),Euro,EUR,978,43,EUR,0.942866
HND,340,HONDURAS,Lempira,HNL,340,57,HNL,24.700882
HKG,344,HONG KONG,Hong Kong Dollar,HKD,344,56,HKD,7.823278
HUN,348,HUNGARY,Forint,HUF,348,60,HUF,360.918128
ISL,352,ICELAND,Iceland Krona,ISK,352,67,ISK,138.456636
IND,356,INDIA,Indian Rupee,INR,356,64,INR,83.057974
IDN,360,INDONESIA,Rupiah,IDR,360,61,IDR,15846.647634
IRN,364,IRAN (ISLAMIC REPUBLIC OF),Iranian Rial,IRR,364,66,IRR,41956.187349
IRQ,368,IRAQ,Iraqi Dinar,IQD,368,65,IQD,1308.267007
IRL,372,IRELAND,Euro,EUR,978,43,EUR,0.942866
IMN,833,ISLE OF MAN,Pound Sterling,GBP,826,47,GBP,0.821191
ISR,376,ISRAEL,New Israeli Sheqel,ILS,376,62,ILS,4.057882
ITA,380,ITALY,Euro,EUR,978,43,EUR,0.942866
